code,clinic,clinic_type,area,"Lat, Long",,,,,,,
CEL,NEDERBURG WINES,Commercial,Paarl,"-33.72054643568576, 19.003328410795156",,,,,,,
CER,BRIDGE HOUSE,Tertiary,Paarl,"-33.879510570009586, 19.029410721096948",,,,,,,
CET,RHEIMETTAL DENEL MUN,Commercial,Paarl,"-34.07837597573578, 18.778090661896155",,,,,,,
CFB,VANRHYNSDORP,Residential,Paarl,"-31.609219415138053, 18.74504974103033",,,,,,,
CFX,MANAGED SOLUTIONS,Commercial,Paarl,,,,,,,,
CGH,Rembrandt Mall,Shopping,Paarl,"-33.72825430894383, 18.97290294232741",,,,,,,
CGP,BUSAMED PRIVATE HOSP,Hospital,Paarl,"-34.09452217935396, 18.81641645499059",,,,,,,
CGR,SWARTLAND HIGH SCHOOL,School,Paarl,"-33.456592913860035, 18.732502275045515",,,,,,,
CGU,ST. HELENABAAI,Residential,Paarl,"-32.75041748187276, 18.007878762883486",,,,,,,
CGZ,EIKESTAD,Shopping,Paarl,"-33.9353027684208, 18.859995307557345",,,,,,,
CHA,THE WOODMILL,Commercial,Paarl,"-33.943054279593454, 18.82848418131489",,,,,,,
CHG,MILITARY ACADEMY SAL,Commercial,Paarl,"-33.032843123859806, 17.92676627446002",,,,,,,
CHK,PAARL GIRLS HIGH,School,Paarl,"-33.74422517662871, 18.9594038119767",,,,,,,
CHL,CLOETESVILLE HIGH ,School,Paarl,"-33.91256216194894, 18.85273222614749",,,,,,,
CHP,MEDICLINIC CORPORATE,Commercial,Paarl,"-33.93515235327159, 18.857120197249746",,,,,,,
CHS,CURRO SITARI,School,Paarl,"-34.05195859125911, 18.77604708658978",,,,,,,
CHT,SOMERSET WEST,Residential,Paarl,"-34.07579448515794, 18.842924977337415",,,,,,,
CHU,STRAND DAY,Residential,Paarl,"-34.101636628686606, 18.842815177462782",,,,,,,
CHV,MEISIESSKOOL BLOEMHOF,School,Paarl,"-33.94240884778686, 18.8576923",,,,,,,
CHY,ZANDVLIET CARE FACIL,Commercial,Paarl,"-34.05983896647997, 18.763730568480426",,,,,,,
CIA,MEDICLINIC VERGELEGEN,Hospital,Paarl,"-34.0906739327357, 18.858772468481707",,,,,,,
CIB,CHILL BEV INTERNATIONAL,Commercial,Paarl,"-33.92457526072137, 18.85255725313014",,,,,,,
CIC,WATERSTONE VILLAGE,Shopping,Paarl,"-34.07077238713322, 18.822855342327404",,,,,,,
CIF,OASIS WATER,Commercial,Paarl,,,,,,,,
CIG,WELGELEGEN NG KERK,Residential,Paarl,"-33.95005875839662, 18.856992797583917",,,,,,,
CII,PAARL MALL,Shopping,Paarl,"-33.76500453930628, 18.967533426142086",,,,,,,
CIJ,HUIS TEN BOSCH,School,Paarl,"-33.9346205420491, 18.8686339711637",,,,,,,
CIL,RHENISH GIRLS HIGH,School,Paarl,"-33.94573815567596, 18.85942009458772",,,,,,,
CIN,SITARI VILLAGE,Shopping,Paarl,"-34.05036707989311, 18.778627726152635",,,,,,,
CIO,MINERVA,Tertiary,Paarl,"-33.934508957194566, 18.870696297311998",,,,,,,
CIQ,PAARL TOWN,Residential,Paarl,"-33.73448547170321, 18.961690866580334",,,,,,,
CIR,SOMERSET COLLEGE,Tertiary,Paarl,"-34.040319381618055, 18.808234143600707",,,,,,,
CIS,STRAND HIGH,School,Paarl,"-34.1017170222653, 18.839065286508884",,,,,,,
CIV,STARGROW ,Commercial,Paarl,"-33.962914176208876, 18.8371275396405",,,,,,,
